"","Species","Flowering","Fruit.ripening","Seed.dispersal","pdf_table_number","genus_name","Color.of.ripe.fruit","Height.of.mature.trees..m.","Year.first.cultivated","Location","Color.of.ripe.fruits","Fruit.drop","Location....altitude.","Location....elevation.","Height.at.maturity..m.","Growth.habit...maximum.height","Flower.color","Flowering.habit","Dispersal","Cone.ripening","Seed.ripening...dispersal","Origin","Color.of.ripe.fruit.","Seed.size..mm.","Diam.of.ripe.fruit..mm.","Cleaned..kg","seeds.wt..lb","Fruit...seed.ripening","Location...elevation..m.","Tree.ht..m.","Age..yrs..","Interval..yrs."
"468","NOT_SELECTED C. piperi","May-June","Aug-Sept",NA,"2","Crataegus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salmon-orange to scarlet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","C. pruinosa","May-June","Oct-Nov",NA,"2","Crataegus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dark purple-red",NA,NA,NA,NA,NA,NA,NA,NA,NA
"470","C. pulcherrima","Apr-May","Sept-Oct",NA,"2","Crataegus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red",NA,NA,NA,NA,NA,NA,NA,NA,NA
"471","NOT_SELECTED C. punctata","May-June","Sept-Oct",NA,"2","Crataegus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dull red or bright yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA
"472","C. reverchonii","May","Oct",NA,"2","Crataegus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shiny or dull red",NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","C. rufula","Mar-Apr","June-July",NA,"2","Crataegus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red",NA,NA,NA,NA,NA,NA,NA,NA,NA
"474","C. saligna","May","Oct",NA,"2","Crataegus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red to blue-black",NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","C. sanguineat","May","Aug-Sept",NA,"2","Crataegus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bright red",NA,NA,NA,NA,NA,NA,NA,NA,NA
"476","C. spathulata","Apr-May","Sept-Oct",NA,"2","Crataegus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red",NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","C. succulenta","May-June","Sept-Oct",NA,"2","Crataegus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bright red",NA,NA,NA,NA,NA,NA,NA,NA,NA
"478","C. tracyi","Apr-May","Sept-Oct",NA,"2","Crataegus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Orange-red",NA,NA,NA,NA,NA,NA,NA,NA,NA
"479","C. triflora","May","Oct",NA,"2","Crataegus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red, hairy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"480","C. uniflora","Apr-May","Sept-Oct",NA,"2","Crataegus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yellow to dull red to brown",NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","C. viridis","Apr-May","Sept-Oct",NA,"2","Crataegus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bright red, orange-red, yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","E. angustifolia","June","Aug-Oct","All winter","2","Elaeagnus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12-13",NA,NA,NA,NA,NA,NA,NA,NA
"483","E. commutata","June-July","Aug-Sep","Sep-Nov","2","Elaeagnus",NA,NA,NA,"Black Hills, South Dakota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8-9",NA,NA,NA,NA,NA,NA,NA,NA
"484","E. umbellata","May-June","Aug-Oct","Sep-Nov","2","Elaeagnus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-8",NA,NA,NA,NA,NA,NA,NA,NA
"485","A. arbutifolia","Mar-Apr","Oct-Nov",NA,"2","Aronia",NA,NA,NA,"Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","","Mar-May","Sept-Oct",NA,"2","Aronia",NA,NA,NA,"West Virginia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487","","Apr-July","Sept-Nov",NA,"2","Aronia",NA,NA,NA,"North",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","A. melanocarpa","Mar-June","Aug",NA,"2","Aronia",NA,NA,NA,"South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489","","Apr-July","Aug-Oct",NA,"2","Aronia",NA,NA,NA,"North",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"490","","June","Sept-Oct",NA,"2","Aronia",NA,NA,NA,"West Virginia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491","A. X prunifolia","Apr-July","Aug-Oct",NA,"2","Aronia",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"492","Morella californica","May-June","Sept",NA,"2","Morella","Brownish purple with grayish white wax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","48,000","22,000",NA,NA,NA,NA,NA
"493","Morella cerifera","Mar-June","Aug-Oct",NA,"2","Morella","Light green with pale blue wax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","185,000","84,000",NA,NA,NA,NA,NA
"494","Morella faya","Variable","Aug-Nov",NA,"2","Morella","Red to purple",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","","",NA,NA,NA,NA,NA
"495","Myrica pensylvanica","Apr-July","Sept-Oct",NA,"2","Morella","Covered with grayish white wax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","121,000","55,000",NA,NA,NA,NA,NA
"496","Myrica gale","Mar-Apr","Oct",NA,"2","Morella","Lustrous & dotted with resin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","","",NA,NA,NA,NA,NA
"497","T. baccata","Mar-May",NA,"Aug-Oct","2","Taxus",NA,NA,NA,"W Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug-Oct",NA,NA,NA,NA
"498","T. brevifolia","Mar-May",NA,"July-Oct","2","Taxus",NA,NA,NA,"Washington & Oregon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"July-Oct",NA,NA,NA,NA
"499","T. canadensis","Apr",NA,"Aug-Sept","2","Taxus",NA,NA,NA,"Minnesota & Wisconsin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug-Sept",NA,NA,NA,NA
"500","T. cuspidata","Apr-June",NA,"Oct","2","Taxus",NA,NA,NA,"Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sept-Oct",NA,NA,NA,NA
"501","T. floridana","Jan-Mar",NA,"Aug-Oct","2","Taxus",NA,NA,NA,"NW Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug-Oct",NA,NA,NA,NA
"502","P. macrocarpa","February-mid-Apr",NA,"Late Aug-late Oct","2","Pseudotsuga",NA,NA,NA,"S California",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Early Aug-early Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"503","P. menziesii var. glauca","Mid-Apr-early May",NA,"","2","Pseudotsuga",NA,NA,NA,"Central Colorado (elev. 2,060-2,880 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"504","","Late May-early June",NA,"Late Aug-mid-Sept*","2","Pseudotsuga",NA,NA,NA,"Montana (elev. 700-1,700 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Late July-early Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"505","","Early May-late June",NA,"Early Sept*","2","Pseudotsuga",NA,NA,NA,"Northern Idaho (elev. 820-1,000 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mid-Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"506","","Mid-May-mid-June",NA,"Mid-Aug-mid-Sept*","2","Pseudotsuga",NA,NA,NA,"Central Oregon",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"507","P. menziesii var. menziesii","Late Mar-mid-May",NA,"Sept-late Mar","2","Pseudotsuga",NA,NA,NA,"Coastal British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"508","","Mid-Mar-early Junet",NA,"Late Aug-late Mart","2","Pseudotsuga",NA,NA,NA,"W-central Oregon & W Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"509","","Early Apr-early May",NA,"Mid-Aug*","2","Pseudotsuga",NA,NA,NA,"S Oregon",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"510","","",NA,"Sept-early winter","2","Pseudotsuga",NA,NA,NA,"N California",NA,NA,NA,NA,NA,NA,NA,NA,NA,"August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"511","A. californica","May-July","July-Sept","Aug-Sept","3","Amorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512","A. canescens","June-late July","Aug-Sept","Sept-Oct","3","Amorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"513","A. fruticosa","May-June","Aug","Sept-Oct","3","Amorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514","A. nana","May-July","July","July","3","Amorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"515","C. acutifolius","May-June","Sept-Oct","Sept-winter","2","Cotoneaster",NA,NA,NA,"N Great Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"516","C. apiculatus","May-June","Aug-Sept","Fall-winter","2","Cotoneaster",NA,NA,NA,"S Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517","C. horizontalis","June","Sept-Nov","Sept-winter","2","Cotoneaster",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"518","C. integerrimus","May-June","Aug-Sept","","2","Cotoneaster",NA,NA,NA,"Great Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","C. lucidus","May-June","Sept","","2","Cotoneaster",NA,NA,NA,"North Dakota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"520","C. niger","May-June","","","2","Cotoneaster",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521","F. grandifolia","March-May","Sept-Nov","Sept-Nov (after frost)","2","Fagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522","F. sylvatica*","Apr-May","Sept-Oct","Oct-Nov (after frost)","2","Fagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523","A. glutinosa","Mar-May","Sept","Sept or Oct-early spring","2","Alnus",NA,NA,NA,"E US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524","","(can start Jan)","Feb-April","","2","Alnus",NA,NA,NA,"S US & England",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525","A. incana","Mar-May","Sept-Nov","Sept-Dec","2","Alnus",NA,NA,NA,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"526","ssp. rugosa","Mar-May","","","2","Alnus",NA,NA,NA,"Canada, US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527","ssp. tenuifolia","Mar-Apr","Aug-Sept","","2","Alnus",NA,NA,NA,"Idaho, Montana, Oregon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528","A. nepalensis","","Oct-Feb","Oct-Apr","2","Alnus",NA,NA,NA,"Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529","A. rhombifolia","Mar","Late Sept-early Oct","","2","Alnus",NA,NA,NA,"Oregon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530","A. rubra","Late winter-","Aug-Oct","Sept-Dec","2","Alnus",NA,NA,NA,"Washington, Oregon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"531","","early spring","","","2","Alnus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"532","A. serrulata","Feb-May","Late Sept-early Oct","","2","Alnus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"533","A. viridis ssp. crispa","Spring","Late Aug-mid-Oct","Soon after ripening","2","Alnus",NA,NA,NA,"E US, Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"534","","Apr-June","Mid Sept-early Oct","Sept-early spring","2","Alnus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535","ssp. sinuata","Apr-June","Sept-Dec","","2","Alnus",NA,NA,NA,"Alaska, W Canada, & NW US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536","C. alba","Apr-May","Sept-Oct","Sept-Oct","2","Carya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537","C. aquatica","Mar-May","Sept-Nov","Oct-Dec","2","Carya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"538","C. cordiformis","Apr-May","Sept-Oct","Sept-Dec","2","Carya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539","C. glabra","Apr-May","Sept-Oct","Sept-Oct","2","Carya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"540","C. illinoensis","Mar-May","Sept-Oct","Sept-Oct","2","Carya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"541","C. laciniosa","Apr-June","Sept-Nov","Sept-Oct","2","Carya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"542","C. myristiciformis","Apr-May","Sept-Oct","Sept-Oct","2","Carya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"543","C. ovata","Apr-June","Sept-Oct","Sept-Oct","2","Carya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"544","C. pallida","Mar-Apr","Sept-Oct","Sept-Oct","2","Carya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"545","A. alba","May-mid-June","Mid-Sept-mid-Oct","Mid-Sept-mid-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe","25-45","25-30","2-3-"
"546","A. amabilis","Late Apr-May","Late Aug","Late Aug-Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W Washington & Oregon (150-400)","35-65","30","3-6"
"547","","Mid-May-June","Mid-Sept","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vancouver Is., British Columbia (500)","","",""
"548","","June","","Mid-Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lewis Co., Washington (1,600)","","",""
"549","A. balsamea","Mid-late-May","Late Aug-early Sept","Mid-Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","10-20","20-30","2-4"
"550","","Late Apr-early June","","Early Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minnesota","","",""
"551","A. bracteata","Late Apr-early May","Late Aug","Mid-Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sta. Lucia Mtns, Monterey Co., California","10-35","","3-5"
"552","A. concolor","May-June","Sept-Oct","Sept-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","25-60","40","3-9"
"553","var. lowiana","Late May","","Late Sept-late Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stanislaus NF, California (2,000)","","",""
"554","","Mid-May-early June","NOT_SELECTED -","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fremont NF, Oregon (1,600)","","",""
"555","A. firma","Late Apr-mid-May","Mid-late Oct","Late Oct-early Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Japan","30-45","","4-6"
"556","A. fraseri","Mid-May-early June","Sept-mid-Oct","Sept-early Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roan Mtn, North Carolina","10-25","15","3"
"557","A. grandis","Mid-June","Aug","Early Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern Idaho (750-1,100)","35-65","20","2-3"
"558","","Mid-April-mid-May","","Late Aug-mid-Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W Washington & Oregon (100-400)","","",""
"559","","Early-mid-June","NOT_SELECTED -","Early Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linn Co., Oregon (1,600)","","",""
"560","","Late March-early Apr","NOT_SELECTED -","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mendocino Co., California (65)","","",""
"561","A. guatemalensis","","Oct-mid-Dec","Nov-mid-Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guatemala, S Mexico, Honduras, & El Salvador","20-30","","2-3"
"562","A. homolepis","Mid-May-mid-June","Mid-late Sept","Mid-late Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Japan","20-30","","5-7"
"563","A. lasiocarpa","Late June","Mid-Sept-early Oct","Late Sept-early Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"San Francisco Peaks, Coconino Co., Arizona","10-35","50","2-3"
"564","","Late June-early July","Mid-Aug","Mid-Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern Idaho (950)","10-35","20","2-4"
"565","","Early-mid-July","Late Aug","Early Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eastern Montana (2,100)","","",""
"566","","Late May-early July","","Early Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linn County, Oregon (1,750)","","",""
"567","A. magnifica","Late May-early June","Aug","Sept-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","30-55","35-45","2-3"
"568","A. mariesii","Mid-late June","Mid-late Sept","Late Sept-early Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Japan","10-25","","5-7"
"569","A. nordmanniana","","May","Sept-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","40-60","30-40","2-3"
"570","","","After Oct I","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Russian Georgia","","",""
"571","A. pindrow §","Late Apr-mid-May","Sept-early Oct","Oct-Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Himalayas","","30-40","2-4"
"572","A. pinsapo","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Czech Republic & Soslovakia","","50",""
"573","A. procera","June","Mid-late Sept","Early Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Benton & Linn Cos., Oregon (1,350-1,550)","45-80","12-15","3-6"
"574","","June-early July","Late Sept","Early Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lewis Co., Washington (1,600)","","",""
"575","A sachalinensis","May-June","Sept-Oct","Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hokkaido, Japan","","","2-4"
"576","A. X shastensis","Mid-late June","Late Sept","Late Sept-mid-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW Oregon (1,850-2,000)","30-55","30-40","2-3"
"577","","","Late Sept","Early-mid-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N. California coast ranges (2,000)","","",""
"578","","","","Mid-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shasta Co., California (1,700-2,000)","","",""
"579","A. sibirica","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W Siberia","","","2-8"
"580","A. veitchii","June","Sept-early Oct","Sept-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Japan","20-25","30","5-6"
"581","B. angustifolia","Sept-Oct","Sept-Oct","Oct","2","Baccharis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"582","B. pilularis","July-Oct","Sept-Dec","Fall","2","Baccharis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
